City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
mackenzie,20,86,55.34,-123.09,28.4,2.24
rikitea,88,100,-23.12,-134.97,79.98,13.44
punta arenas,40,70,-53.16,-70.91,42.8,16.11
qaanaaq,44,100,77.48,-69.36,-10.02,4.05
mataura,92,67,-46.19,168.86,52.71,19.71
yunyang,0,62,32.84,110.81,73.68,3.94
lazaro cardenas,5,32,28.39,-105.62,55.4,10.29
merauke,56,100,-8.49,140.4,81.06,6.85
east london,0,82,-33.02,27.91,68.0,12.75
talnakh,48,73,69.49,88.39,-11.1,18.7
new norfolk,75,49,-42.78,147.06,68.0,11.41
ushuaia,75,70,-54.81,-68.31,44.6,8.05
butaritari,88,98,3.07,172.79,83.58,12.33
axim,44,100,4.87,-2.24,80.61,10.76
georgetown,20,88,6.8,-58.16,75.2,4.7
takoradi,8,100,4.89,-1.75,80.43,7.96
busselton,48,68,-33.64,115.35,82.5,8.63
atuona,48,100,-9.8,-139.03,78.63,16.69
jamestown,0,92,-33.21,138.6,66.33,7.74
hofn,92,100,64.25,-15.21,36.06,26.64
sitka,20,45,37.17,-99.65,34.71,8.19
east wenatchee bench,1,52,47.43,-120.28,48.31,3.36
bredasdorp,0,87,-34.53,20.04,60.8,5.82
alghero,20,71,40.56,8.32,53.6,8.05
zlitan,36,100,32.47,14.57,50.28,4.05
kangaatsiaq,80,100,68.31,-53.46,14.1,7.96
ostersund,90,92,63.18,14.64,23.0,5.82
touros,92,82,-5.2,-35.46,81.15,5.73
hilo,90,88,19.71,-155.08,68.0,16.46
pozhva,8,81,59.09,56.08,6.09,10.65
agirish,8,67,61.92,63.02,16.08,6.62
flin flon,0,75,54.77,-101.88,23.28,7.4
yeppoon,40,40,-23.13,150.74,87.8,14.99
khuzhir,0,74,53.19,107.35,12.39,8.97
deputatskiy,8,67,69.3,139.9,-16.23,2.93
pringsewu,24,80,-5.36,104.98,85.2,2.59
kodiak,1,55,39.95,-94.76,33.8,9.17
abilene,1,52,32.45,-99.73,45.86,6.62
berlevag,90,79,70.86,29.09,24.8,19.46
vaini,0,35,15.34,74.49,90.87,6.85
plettenberg bay,12,92,-34.05,23.37,73.05,6.51
albany,90,80,42.65,-73.75,34.25,8.05
kissidougou,92,97,9.19,-10.1,70.08,10.54
lavrentiya,76,100,65.58,-170.99,0.78,21.27
narayangarh,0,31,24.28,75.06,90.78,4.61
isangel,76,95,-19.55,169.27,83.58,20.04
coahuayana,0,60,18.62,-100.35,63.87,1.59
storforshei,0,79,66.4,14.52,2.31,3.6
cape town,75,93,-33.93,18.42,62.6,10.29
saint george,20,62,39.45,22.34,53.6,5.82
saint-philippe,90,64,45.36,-73.48,34.18,5.82
hermanus,0,84,-34.42,19.24,60.81,3.38
nioro,0,73,13.79,-15.05,70.8,6.85
zhigansk,68,75,66.77,123.37,-3.0,5.73
flinders,90,60,-34.58,150.85,68.0,8.05
marzuq,0,33,14.4,46.47,74.58,2.15
kruisfontein,0,77,-34.0,24.73,68.37,8.97
ancud,92,73,-41.87,-73.83,54.15,6.85
half moon bay,90,82,37.46,-122.43,61.59,5.82
zalesovo,0,88,54.0,84.74,10.05,4.27
cabo san lucas,75,46,22.89,-109.91,73.4,5.5
yellowknife,20,68,62.45,-114.38,30.2,8.05
hobart,75,49,-42.88,147.33,68.0,11.41
augusto correa,92,92,-1.02,-46.63,77.1,4.16
las vegas,40,59,36.17,-115.15,62.28,5.82
thompson,40,49,55.74,-97.86,24.8,5.82
taltal,0,98,-25.41,-70.49,50.28,1.92
eureka,90,72,40.8,-124.16,62.6,6.93
codrington,92,83,-28.95,153.24,70.62,7.52
dingle,20,79,11.0,122.67,82.23,14.56
