City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
arraial do cabo,24,97,-22.97,-42.02,71.82,8.63
hermanus,32,100,-34.42,19.24,49.05,3.27
suruc,0,29,36.98,38.42,60.8,5.82
sarkand,12,62,45.41,79.91,48.87,4.94
chita,40,38,52.03,113.5,39.2,6.71
punta arenas,75,86,-53.16,-70.91,40.15,13.87
hithadhoo,92,100,-0.6,73.08,80.73,11.65
yelizovo,0,56,53.19,158.38,42.8,11.18
kapaa,75,78,22.08,-159.32,77.97,14.99
cape town,20,93,-33.93,18.42,53.6,8.05
saint george,0,76,39.45,22.34,55.4,3.36
baruun-urt,0,29,46.68,113.28,67.05,18.7
ushuaia,20,75,-54.81,-68.31,42.8,6.93
tasiilaq,92,74,65.61,-37.64,35.6,14.99
port-gentil,76,100,-0.72,8.78,79.02,6.73
victoria,75,79,5.28,115.24,86.02,2.24
richards bay,0,86,-28.77,32.06,67.05,2.93
ilulissat,56,79,69.22,-51.1,21.2,14.99
jamestown,0,32,-33.21,138.6,83.79,10.09
polewali,88,89,-4.03,119.8,81.54,5.84
busselton,88,100,-33.64,115.35,62.28,5.39
hervey bay,92,92,-25.3,152.85,76.72,7.96
mahebourg,75,83,-20.41,57.7,80.6,5.82
palembang,12,100,-2.99,104.76,83.79,4.05
pokrovsk,0,94,48.28,37.18,46.44,11.21
hasaki,40,63,35.73,140.83,63.45,6.93
lang suan,0,79,9.95,99.07,84.2,2.24
airai,36,63,-8.93,125.41,83.43,0.92
mount gambier,0,63,-37.83,140.78,71.77,3.27
saint anthony,1,29,43.97,-111.68,47.61,9.17
tubuala,20,69,9.52,-79.03,80.6,3.36
grindavik,75,87,63.84,-22.43,46.4,25.28
ponta do sol,32,73,-20.63,-46.0,59.4,6.4
minna,64,75,9.62,6.55,79.74,8.19
antalaha,24,93,-14.9,50.28,74.79,11.32
saryozek,68,74,44.36,77.98,41.85,4.16
mar del plata,64,55,-46.43,-67.52,64.3,22.39
vaini,36,69,15.34,74.49,81.0,3.71
dikson,76,95,73.51,80.55,8.32,24.29
castro,92,96,-42.48,-73.76,56.43,9.64
mataura,92,71,-46.19,168.86,57.96,24.52
samfya,80,82,-11.37,29.56,66.24,5.17
vilhena,80,97,-12.74,-60.15,70.02,2.93
monrovia,75,94,6.33,-10.8,77.0,4.94
khatanga,68,100,71.98,102.47,12.69,6.29
port elizabeth,90,70,39.31,-74.98,49.44,3.36
kaitangata,36,60,-46.28,169.85,58.95,29.1
rikitea,100,100,-23.12,-134.97,79.65,15.79
ixtapa,5,65,20.71,-105.21,78.8,8.05
kodiak,90,56,39.95,-94.76,41.0,19.46
bethel,1,49,60.79,-161.76,48.2,17.22
adrar,0,20,27.87,-0.29,68.0,14.99
lata,8,58,30.78,78.62,57.6,2.04
qaanaaq,0,71,77.48,-69.36,-10.76,2.93
avarua,40,65,-21.21,-159.78,80.6,11.41
pevek,12,92,69.7,170.27,29.34,2.82
albany,90,60,42.65,-73.75,39.18,5.82
murgeni,0,71,46.2,28.02,50.35,11.1
vila velha,0,83,-3.71,-38.6,80.6,6.93
rabo de peixe,40,76,37.8,-25.58,50.0,6.93
barrow,0,93,-38.31,-60.23,56.52,7.63
baudh,24,62,20.84,84.32,86.35,3.49
hobart,75,54,-42.88,147.33,57.2,8.05
tuktoyaktuk,40,76,69.44,-133.03,-6.17,9.17
birobidzhan,76,46,48.79,132.93,60.12,3.83
east london,0,100,-33.02,27.91,67.99,24.96
bredasdorp,20,82,-34.53,20.04,55.4,8.05
new norfolk,75,54,-42.78,147.06,57.2,8.05
hobyo,88,100,5.35,48.53,73.89,5.5
lebu,64,93,8.96,38.73,49.68,3.04
walvis bay,0,72,-22.95,14.51,60.8,2.24
vila franca do campo,40,76,37.72,-25.43,50.0,6.93
nikolskoye,0,93,59.7,30.79,37.4,6.71
los llanos de aridane,36,68,28.66,-17.92,66.2,5.82
jega,0,63,12.22,4.38,72.22,2.82
yellowknife,75,68,62.45,-114.38,24.8,12.75
valdivia,92,100,-39.81,-73.25,50.0,3.36
sinnamary,92,99,5.38,-52.96,79.02,10.76
itupiranga,0,100,-5.13,-49.33,77.0,1.12
saint-philippe,90,75,45.36,-73.48,40.53,11.41
yar-sale,64,88,66.83,70.83,17.14,18.48
arman,8,74,59.7,150.17,32.0,4.47
leningradskiy,12,98,69.38,178.42,17.59,13.22
atuona,36,100,-9.8,-139.03,81.72,15.68
payo,0,96,-3.75,103.64,83.16,4.38
kahului,40,74,20.89,-156.47,76.32,13.87
san patricio,0,75,-26.98,-56.83,74.16,4.72
saint-pierre,0,58,48.95,4.24,56.05,11.41
